AGE,INITIAL HIRE DATE,JOB CATEGORY,EMPLOYEE ANNUAL BASE SALARY,EMPLOYEE HOME DEPARTMENT,PRIMARY WORKING TITLE
46,2-Jan-09,Administrative / Office / Clerical Lead,43258,Southeast District- Bladen,COSS Administrative Assistant
59,22-Aug-06,Student Services Coordinator,51855,Statistics,Student Services Specialist
48,2-Jan-14,Associate Professor,151180,"Dept-Population,Health,Pathobi",Assoc Professor
26,5-Jul-23,Student Services Coordinator,40000,Admissions,Student Services Specialist
36,1-Jul-23,Assistant Professor,68000,World Languages and Cultures,Asst Professor
47,11-Nov-13,Accounting Assistant,55120,Facilities Budget & Accounting,Accounting Technician
44,10-Mar-08,Professor,185328,Electrical & Computer Engr.,"Professor, Univ Fac Scholar"
34,1-Jul-21,Assistant Professor,67600,TELS,Asst Teaching Professor
53,17-Oct-17,Custodian / Housekeeper,36438,Housekeeping Svcs-Reg2-Res Hal,Building Environmental Technic
63,1-Mar-94,"Business Operations Professional, Dept Business Mgr Sr.",91520,Chemistry,Business Manager
33,3-Sep-08,Accounting Assistant,63535,Analytical Instrument Facility,University Program Specialist
70,1-Jul-03,Professor,168480,Electrical & Computer Engr.,Professor
40,9-May-05,"Accounting Professional, Accountant",89781,OIT Business Services,Accountant
44,1-Jun-21,Extension / Engagement / Public Service Professional,61785,NC Clean Energy Technology Ctr,Extension Specialist
61,1-Apr-07,Professor,158860,Mechanical & Aerospace Engr,Professor
42,16-Jan-12,"Research Professional, Life Sciences, Principal Research Scholar",113823,Integrated Pest Mgmt-Research,Principal Research Scholar
37,11-May-18,Assistant Professor,81590,For & Envir Res Acad Research,Teaching Asst Professor
70,1-Jul-87,Professor,113367,History,Professor
48,1-May-18,Functional Paraprofessional,43146,North Central District- Wilkes,COSS Administrative Assistant
33,1-Mar-21,"Research Professional, Life Sciences, Research Assistant",49920,Applied Ecology,Research Asst
45,1-Dec-98,"Extension / Engagement / Public Service Professional, Agricultural",60320,Crop & Soil Sciences,Extension Assoc
26,22-May-18,IT Client Support Professional,85930,Business Office,IT System Administrator I
24,7-May-18,Extension / Engagement / Public Service Professional,47000,Northeast District - Chowan,Asst Area Agent [12]
58,11-Jun-12,"IT Client Support Professional, Specialist",72690,College of Design,Technology Support Analyst
28,30-Jun-23,Assistant Professor,96200,Entomology & Plant Pathology,Asst Professor and Ext Asst
56,1-Nov-89,"Extension / Engagement / Public Service Professional, Agricultural",65835,Crop & Soil Sciences,Extension Assoc
51,18-Oct-17,"Custodian / Housekeeper, Floor Maintenance",36488,Housekeeping Svcs-Reg2,Building Enviro Tech'n - Shift
38,20-Apr-16,"Business Operations Professional, Dept Business Mgr",56000,Sociology & Anthropology,Business Officer II
50,6-May-05,Custodian / Housekeeper,35463,Housekeeping Services-Reg1,Building Environmental Technic
56,11-Jun-07,Facilities Design / Construction Professional,88247,Const Svcs-In-House Const,Engr'g/Architectural Spvsr
40,19-Jul-06,Institutional Assessment / Academic Assessment Professional,70500,Acad Stu Aff-Assessment,Asst Director
35,13-Jul-10,"Student Housing Professional, Housing Officer/Residence Life",96000,Residence Life,Director
42,28-Sep-15,"IT Systems Support Professional, Systems Administrator",103449,Shared Services,IT System Administrator II
64,16-Dec-15,Custodian / Housekeeper,34423,Housekeeping Svcs-Reg3,Building Environmental Technic
35,1-Jul-22,Assistant Professor,106600,Economics-Poole COM,Teaching Asst Professor
43,15-May-23,Communications / Marketing Professional,135200,Cals-Communication Services,"Director - Mktg & Comm, CALS"
51,11-Feb-05,"Academic Advising Professional, Advisor/Coordinator",96338,Academic Programs,Director
48,16-Aug-97,"Research Professional, Life Sciences, Research Associate",68131,Crop & Soil Sciences,Research Assoc
48,1-Feb-21,"Research Professional, Life Sciences, Research Associate",57200,Dept Molecular Biomedical Scie,Research Assoc
53,1-Dec-22,Accounting Assistant,53040,CALS Business Office,Accounting Technician
38,10-Jul-17,Associate Professor,163181,Dept of Clinical Sciences,Assoc Professor
46,28-Mar-14,Associate Professor,143082,Computer Science-engr,Assoc Professor
61,20-Feb-84,Administrative Assistant,55708,Sea Grant Program,University Program Specialist
61,6-Mar-23,"Accounting Professional, Accountant",67600,University Housing,Accountant II
46,16-Aug-02,Communications Specialist,66737,Cals-Communication Services,Public Comm Specialist
43,7-Apr-04,"Assoc/Asst Dean, Graduate Programs",142070,Graduate School-Dean's Office,Asst Dean-Admin & Academic Aff
48,1-Dec-98,Research Asst/Technician/Technologist,71016,Horticultural Science,Research Specialist-Exempt
54,16-Aug-96,"Research Professional, Life Sciences, Research Associate",58286,Integrated Pest Mgmt-Research,Research Assoc
60,5-May-06,General Maintenance Lead/Supervisor,70944,Const Svcs-FCAP,Facilities Maint Supervisor
61,19-Oct-15,General Maintenance Lead/Supervisor,75199,BM&O-Orig Campus,Facilities Maint Supervisor
48,15-Aug-18,Athletics Professional,61880,Athletics-Game Operations,Director of Operations - Event
62,15-Jul-91,Engineering Technical/Paraprofessional,59478,Const Svcs-In-House Const,Engr'g/Architectural Tech'n
54,1-Dec-08,Fiscal Affairs Paraprofessional,47795,County Program Operations,Business Services Coordinator
31,25-Jul-22,Student Admissions / Recruitment Professional,67600,MBA Program-Poole COM,Asst Director
50,4-Dec-23,Service / Maintenance Supervisor,65000,CVM Teaching Hospital,Support Services SupervisorIII
33,5-Jun-23,Department Assistant,48880,University Housing,University Program Associate
34,30-Aug-21,Administrative Assistant,49478,Entomology & Plant Pathology,Administrative Support Special
57,1-Jul-94,Professor,139339,Mechanical & Aerospace Engr,Professor
33,21-Jun-21,"Human Resources Professional, Class & Comp Specialist",69680,HR Classification and Comp,Human Resources Consultant
48,27-Mar-23,"IT (Information Technology) Professional, IT Architect",156000,Communication Technologies,IT Architect/Engineer I
57,22-May-00,Lecturer,40500,Communication,Lecturer
41,3-Aug-20,Extension / Engagement / Public Service Professional,96200,NC Clean Energy Technology Ctr,Extension Specialist
59,10-Apr-12,"IT Systems Support Professional, Systems Programmer Sr.",88400,Business Systems & Analysis,Systems Programmer/Analyst
33,3-May-21,Extension / Engagement / Public Service Professional,54259,North Central District - Durha,Asst Extension Agent [13]
40,16-Nov-22,Assistant Professor,93600,Plant and Microbial Biology,Asst Professor
27,7-Sep-21,Administrative Assistant,39913,Transportation,Administrative Support Assoc
63,1-Mar-98,"Research Professional, Agricultural / Food",72636,Kannapolis Research,Research Specialist-Exempt
42,25-Jul-16,"Research Professional, Life Sciences, Research Assistant",63274,Crop & Soil Sciences,Research Asst
34,15-May-17,"Research Professional, Physical Sciences, Research Assistant",50440,Biochemistry,Research Asst
41,11-Jan-05,Custodian / Housekeeper,35463,Housekeeping Svcs-Reg4,Building Environmental Technic
55,26-Oct-09,Custodian / Housekeeper,35463,Housekeeping Svcs-Reg3,Building Environmental Technic
55,1-Jul-05,Associate Professor,85366,Philosophy & Religious Studies,Assoc Professor
63,30-Jun-99,Accounting Assistant,54000,Athletics - Administration,Accounting Technician
47,10-Feb-20,"Chief Business Affairs Officer, College/Division",156000,College Of Veterinary Medicine,Asst Dean-Business & Finance
27,30-May-23,Administrative Assistant,53040,CVM Teaching Hospital,Executive Assistant
43,9-Mar-17,"Student Admissions / Recruitment Professional, Admissions Counselor",93647,Admissions,Director
47,22-Sep-14,Veterinary / Animal Science Professional,73384,CVM Teaching Hospital,Research Operation Manager-NE
39,8-Jan-11,Department Assistant,63584,Computer Science-engr,University Program Specialist
43,16-May-11,"Research Professional, Life Sciences, Research Associate",67813,Crop & Soil Sciences,Research Assoc
39,5-Jul-17,Associate Professor,150808,"Dept-Population,Health,Pathobi",Assoc Professor
52,10-Feb-00,Accounting Assistant,52433,Univ Adv Business Office,Business Services Coordinator
42,24-Apr-00,"Research Professional, Life Sciences",77231,Biological And Agricultural En,Research Project Coordinator
60,6-Oct-86,Executive Assistant,66706,Shelton Leadership Center,Executive Assistant
53,8-Apr-19,Custodian / Housekeeper,33259,Housekeeping Svcs-Reg3,Building Environmental Technic
51,29-Mar-13,Accounting Assistant,52797,Materials Science &Engineering,Accounting Technician
64,3-Jan-23,Administrative / Office / Clerical Lead,22514,North Central District - Orang,COSS Office Assistant
30,15-Jul-16,Extension / Engagement / Public Service Professional,68890,College Of Education,Program Director
52,16-Oct-00,"Accounting Professional, Accountant",80192,Dairy Records Processing,Accountant
35,1-Jul-20,Extension / Engagement / Public Service Professional,63292,North Central District - Vance,"Ext County Director [01,04]"
41,1-Jun-22,"IT Systems Support Professional, Systems Programmer Sr.",115714,Enterprise Application Svcs,IT Database Administrator II
25,2-Oct-23,Extension / Engagement / Public Service Professional,33100,West District - Henderson,Program Assistant [03]
62,1-Jul-02,Academic Services Professional,73769,Intensive English Program,Director
63,16-Oct-06,Library Paraprofessional,61742,Libraries,University Library Specalist
53,19-Sep-22,Accounting Professional,69200,College Business Services-PCOM,Accountant II
54,18-Nov-02,"IT Client Support Professional, Specialist",82947,CHASS Information Technology,Technology Support Analyst
26,17-Jun-18,Extension / Engagement / Public Service Professional,44981,North Central District- Alaman,Asst Extension Agent [03]
22,25-Mar-22,Trades Helper,42442,BM&O-CBC,Facilities Maint Tech - Mechan
53,12-Jan-16,"IT Applications Professional, Programmer Analyst Sr.",114210,Enterprise Application Svcs,IT Analyst/Programmer III
41,29-Jan-18,Custodian / Housekeeper,36488,Housekeeping Services-Reg1,Building Enviro Tech'n - Shift
55,29-Mar-02,"Research Professional, Life Sciences, Principal Research Scholar",121747,Integrated Pest Mgmt-Research,Principal Research Scholar
23,21-Aug-23,Audiovisual Technical/Paraprofessional,42000,Athletics-Internal/External Op,Broadcast & Emerg'g Media Spec
50,1-Jun-02,Professor,131248,Chemistry,Professor
62,1-Mar-03,Professor,126771,Dept of Clinical Sciences,Research Professor
23,15-Aug-22,Veterinary Technician,48776,CVM Teaching Hospital,Medical Support Tech - Shift
38,15-Jan-14,"Research Professional, Life Sciences, Senior Research Scholar",110000,Biological Sciences,Senior Research Scholar
43,1-Dec-21,Administrative Assistant,39380,West District - EBCI,COSS Administrative Assistant
29,8-Jul-19,"IT Client Support Professional, Specialist",84469,Communication Technologies,IT Network Administrator II
29,25-Apr-23,Skilled Craft Worker,46000,Transportation,Facilities Maint Tech - Mechan
69,10-Jun-19,Social / Human Services Professional,96876,CVM Teaching Hospital,Counselor
62,1-Jan-00,Professor,137528,Civil Const & Environ Engineer,Professor
52,10-Jan-22,Department Assistant,42482,Osher Lifelong Learning Inst.,University Program Associate
43,15-Aug-22,Chief Campus Alumni Affairs Administrator,254800,Alumni Engagement,AVC- Alumni Relations
72,18-Apr-12,Professor,129858,Public & International Affairs,Professor
38,16-Aug-08,"IT Systems Support Professional, Systems Programmer",81635,Integrated Pest Mgmt-Research,IT Analyst/Programmer I- CIPM
53,31-Jan-11,Motor Vehicle Operator,35463,Eastern 4H Envir Ed Conference,Vehicle/Equipment Operator
66,30-Sep-19,Chief Business Officer,420000,Vice Chanc for Finance & Admin,Executive Vice Chancellor
31,26-Jun-17,"IT Systems Support Professional, Systems Programmer",135810,TCTS,IT Manager II
36,15-Jun-20,"Extension / Engagement / Public Service Professional, Industrial",83363,IES Operations,Extension Specialist
45,2-Dec-09,Lecturer,54885,English,Senior Lecturer
41,1-Jul-10,Professor,123309,Statistics,Professor
57,12-Apr-19,Custodian / Housekeeper,33584,Housekeeping Svcs-Reg3,Building Environmental Tech'n
61,2-Dec-02,HVAC Mechanic (Journeyman),65876,BM&O-Centennial Campus,Facilities Maint Tech - Mechan
55,1-Jul-18,Lecturer,99192,"Mgmt, Innovation&Entrepreneur",Senior Lecturer
51,10-Feb-12,Custodian / Housekeeper,35463,Housekeeping Svcs-Reg4,Building Environmental Technic
31,5-Dec-16,Custodian / Housekeeper,39914,Student Centers,Building Enviro Spvsr - Shift
49,1-Jul-20,Professor,142989,Biochemistry,Professor
24,20-Aug-21,Customer Service Assistant,38480,Athletics-Internal/External Op,University Program Associate
38,1-Dec-21,Locksmith (Journeyman),53321,G&BS-Trade Shops,Facilities Maint Tech - Bldg T
47,29-Apr-19,"Student Financial Aid Professional, Counselor",52000,Scholarships & Financial Aid,Asst Director
35,1-Jul-23,Assistant Professor,185000,Business Management-Poole COM,Asst Professor
58,15-Aug-08,Assistant Professor,98356,Prestage Poultry Science,Asst Professor
41,1-Jul-22,Associate Professor,107120,For & Envir Res Acad Research,Assoc Professor
28,7-Nov-22,"Academic Advising Professional, Advisor/Coordinator",49920,Biological Sciences,Academic Advisor
63,29-Apr-15,Custodian / Housekeeper,34423,Housekeeping Svcs-Reg4,Building Environmental Technic
32,5-Mar-18,Administrative Assistant,47362,Agricultural & Human Sciences,Administrative Support Special
43,21-Aug-99,Extension / Engagement / Public Service Professional,77087,Southeast District- Robeson,"Ext County Dir [01,07]"
53,5-Feb-19,Custodian / Housekeeper,34423,Housekeeping Services-Reg1,Building Enviro Tech'n - Shift
47,16-Feb-17,Custodian / Housekeeper,34423,Housekeeping Svcs-Reg2-Res Hal,Building Environmental Tech'n
23,27-Aug-18,Graphical Design Paraprofessional,46800,Athletics-Internal/External Op,Visual Arts Specialist
37,15-Jun-23,"Student Counseling / Student Health Professional AD, Psychologist",67600,Counseling Services,Counselor
70,16-Nov-15,"Extension / Engagement / Public Service Professional, Agricultural",65456,Agricultural & Human Sciences,Extension Assoc
49,11-Mar-08,Professor,140194,Animal Science,"Professor, Univ. Fac. Scholar"
56,13-May-04,Custodian / Housekeeper,35463,Housekeeping Svcs-Reg2-Res Hal,Building Environmental Technic
60,1-Jul-98,"Research Assistants, Technicians, Technologists, Vet Science",47958,Dept of Clinical Sciences,Research Specialist-Nonexempt
36,16-Sep-21,"Research Professional, Life Sciences, Research Scholar",93600,Crop & Soil Sciences,Research Scholar
44,21-May-14,Custodian / Housekeeper,36488,Housekeeping Svcs-Reg4,Building Environmental Technic
42,13-Sep-04,Extension / Engagement / Public Service Professional,57410,North Central District- Rockin,Asst Extension Agent [03]
36,3-Dec-18,Extension / Engagement / Public Service Professional,48610,West District - Yancey,Asst Extension Agent [04]
29,4-Sep-18,Extension / Engagement / Public Service Professional,45094,North Central District- Guilfo,Asst Extension Agent [17]
47,1-Jul-08,Professor,112573,TELS,Professor
32,26-Sep-18,"IT Systems Support Professional, Systems Programmer Sr.",120557,Enterprise Application Svcs,IT Database Administrator II
47,22-Aug-22,"Finance / Budget Professional, Budget Analyst",57191,Facilities Budget & Accounting,Finance & Budget Analyst I
47,19-Jun-23,Foodservice Lead/Supervisor,45760,Dining and Catering Operations,Food Service Supervisor-Shift
40,24-Apr-23,"Student Financial Aid Professional, Counselor",52000,Scholarships & Financial Aid,Asst Director
38,21-May-07,"Extension / Engagement / Public Service Professional, Industrial",83775,IES Engineering & Technology,Extension Specialist
63,30-Sep-02,Executive Assistant,53710,Women's Basketball,Executive Assistant
61,14-Aug-14,"Clerk, Materials",34423,Dining and Catering Operations,Support Services Assoc - Shift
65,23-May-84,"IT Client Support Professional, Specialist",81764,Mechanical & Aerospace Engr,Technology Support Analyst
36,1-Jul-21,Assistant Professor,101182,Mathematics,Asst Professor
38,1-Jul-22,Assistant Professor,218400,Business Management-Poole COM,Asst Professor
21,7-Sep-22,Engineering Technical/Paraprofessional,42328,BM&O-CBC,Engineering/Architectual Tech
46,14-Sep-20,Grounds / Landscape Worker,53164,G&BS-Grounds,Horticultural Specialist
39,16-May-18,"Development / Fundraising Professional, Major Gifts Sr.",104000,Dean's Office-Poole COM,Director of Philanthropy I
37,20-May-06,Extension / Engagement / Public Service Professional,59876,Southeast District - Wilson,"Asst Extension Agent [17,16]"
64,30-Jun-14,Administrative Assistant,58240,Transportation,University Program Specialist
66,1-Nov-18,"Sponsored Contracts / Grants Administration Professional, Restricted Funds Accountant",93176,Office of Contracts & Grants,Accountant
62,15-Sep-98,Field Faculty AC,77665,West District - Watauga,Extension Agent [04]
23,1-Jun-23,Printer / Bookbinder,37000,NC State Bookstores,Print/Doc Service Tech'n-Shift
63,15-May-01,Instrument Maker,69392,Chemical & Biomolecular Engr,Specialty Trades Technician
42,22-Jun-11,Associate Professor,98106,Sociology & Anthropology,Assoc Professor
58,1-Jul-22,Assistant Professor,78000,Art and Design,Asst Professor
42,1-Jul-23,Professor,170000,History,Head
41,29-Jun-20,"Research Professional, Agricultural / Food",99511,IR-4 Project,Project Director
38,17-May-21,"Librarian AC, Systems",78901,Libraries,Librarian
68,16-Aug-89,Professor,109701,World Languages and Cultures,Professor
66,5-Jul-17,"Human Resources Professional, Generalist Senior",74464,Campus Enterprises,Human Resources Consultant
58,8-Apr-02,Accounting Professional,63783,Graduate School-Dean's Office,Accountant
37,10-Oct-22,Trades Helper,44644,G&BS-Landscape Construction Sv,Facilities Maint Tech - Bldg T
36,10-Jan-11,Academic Services Professional,85280,University College,"Dir, Univ Courses & Curricula"
54,12-Nov-19,"IT Network Support Professional, Network Administrator",84766,NC Inst of Climate Studies,IT Network Administrator II
32,24-Oct-22,Library Assistant,55278,Libraries,University Library Technician
58,29-May-13,Extension / Engagement / Public Service Professional,97158,NC Clean Energy Technology Ctr,Assoc Director
45,19-Feb-18,Custodian / Housekeeper,34423,Housekeeping Svcs-Reg3,Building Environmental Technic
62,16-Aug-97,Professor,110332,World Languages and Cultures,Professor
53,1-Jan-07,Professor,176638,Dept of Clinical Sciences,Professor
37,14-Aug-04,Lecturer,64059,Computer Science-engr,Lecturer
23,18-Sep-23,Animal Care Technician,33000,CVM Teaching Hospital,Medical Support Technician
52,11-Mar-02,Veterinary Technician,54953,CVM Teaching Hospital,Medical Support Tech - Shift
64,16-Aug-92,"Director, Subdivision/Unit/Program AD",248679,NCSU Entrepreneurship Program,Executive Director
63,14-Dec-16,Administrative Assistant,30658,Juntos,Administrative Support Spec
22,8-Aug-22,Communications Specialist,56000,Chemical & Biomolecular Engr,Public Comm Specialist
42,1-Apr-20,"Research Professional, Life Sciences, Research Assistant",58000,Forest Biomaterials,Research Asst
59,20-Sep-04,"Research Professional, Life Sciences, Research Scholar",80494,Dept of Clinical Sciences,Research Scholar
38,3-May-21,Student Career Services Professional,94723,MBA Program-Poole COM,Assoc Director
47,5-Aug-19,"Development / Fundraising Professional, Major Gifts Sr.",130000,University Development,Sr Dir of Philanthropy
46,1-Dec-98,Distance Education Professional,69068,DELTA,"Asst Director, DELTA Test Serv"
45,10-Apr-17,Associate Professor,115913,Biological Sciences,Assoc Professor. Univ Fac Scho
60,1-Jul-00,Head Coach - Women's Golf,109200,Women's Golf,Head Coach
57,11-Oct-01,Assistant Professor,85280,Nuclear Engineering,Asst Extension Professor
68,16-Aug-90,Professor,117281,TELS,Professor
38,16-Aug-10,Extension / Engagement / Public Service Professional,72301,West District - County Operati,Asst Area Spec Agent [11]
26,24-Jul-23,Veterinary Technician,45000,CVM Teaching Hospital,Medical Support Tech - Shift
38,10-Aug-20,Assistant Professor,79861,TELS,Asst Professor
42,6-Nov-04,Forestry Technical/ Paraprofessional,66560,Crop & Soil Sciences,Research Operation Manager-Exe
48,1-Jun-23,Secretary,38129,Northeast District - Beaufort,COSS Support Specialist
38,24-Feb-17,"Laboratory Professional, Physical Sciences, Lab Coordinator",93781,Materials Science &Engineering,Specialist
40,1-Sep-02,Department Assistant,55001,Water Resources Research,University Program Specialist
44,1-Nov-22,Functional Paraprofessional,37759,Northeast District - Currituck,COSS Administrative Assistant
59,26-Feb-07,Plumber (Journeyman),58234,Housing Facilities Admin,Facilities Maint Tech - Mechan
36,1-Feb-21,Grounds / Landscape Worker,51366,G&BS-Grounds,Horticultural Specialist
58,5-Jan-09,IT Client Support Professional,62667,Electrical & Computer Engr.,Impementation Specialist II
65,15-May-07,Associate Professor,121942,Statistics,Assoc Professor
36,14-Feb-22,"Human Resources Professional, Employee Relations Specialist",80080,HR Employee Relations,Human Resources Consultant
36,4-Jan-10,Assistant Professor,140400,Dept of Clinical Sciences,Asst Clinical Professor
37,19-Sep-22,"Student Admissions / Recruitment Professional, Assoc Director",67600,Admissions,Assoc Director
45,16-Aug-13,Professor,122720,TELS,Professor
59,16-Aug-94,Professor,143150,Chemistry,Professor
48,15-May-06,"Laboratory Professional, Life Sciences, Research Operations",72428,Sandhills Research Station,Research Operation Manager-Exe
27,11-Oct-21,"Student Activities Professional, Officer",48438,Wellness and Recreation,Coordinator
45,19-Mar-14,Assistant Professor,92667,For & Envir Res Acad Research,Asst Professor
54,17-Aug-98,Accounting Professional,72195,University Controller,Accountant
76,7-Aug-06,Professor,252658,Fitts Dept Indust & Syst Engr,Professor
45,1-Oct-18,Associate Professor,84205,Chemistry,Assoc Teaching Professor
53,5-Nov-07,"Research Asst/Tech, Physical Science",51171,Thermal Protection & Comfort C,Research Technician-Nonexempt
38,3-Apr-23,"Engineer, Facilities Construction",93600,Utilities & Engineering,Engineer
54,1-Nov-96,"Extension / Engagement / Public Service Professional, Agricultural",96790,Crop & Soil Sciences,Extension Assoc
37,1-Jan-21,Assistant Professor,93781,For & Envir Res Acad Research,Asst Professor
26,27-Jun-22,Skilled Craft Worker,44644,G&BS-Landscape Construction Sv,Facilities Maint Tech - Bldg T
44,1-Jul-16,Professor,190652,Statistics,Professor
51,15-Apr-00,Student Affairs / Student Services Professional,54503,Disability Resource Office,Asst Director
37,31-May-06,"Technology Transfer Professional, Licensing Officer",111946,Ofc of Research Commercializat,Senior IP Licensing Associate
46,30-Nov-19,Training Delivery Professional,80730,"Sci, Tech, Engr & Math (STEM)",Trainer
56,6-Dec-10,"Accounting Professional, Accountant",91312,Computer Science-engr,Accountant
55,13-Aug-20,Custodian / Housekeeper,34423,Housekeeping Svcs-Reg2-Res Hal,Building Environmental Technic
29,6-Jan-20,"Research Professional, Life Sciences",34611,Entomology & Plant Pathology,Visiting Scholar
58,7-Sep-21,Skilled Craft Worker,50000,Housing Facilities Admin,Facilities Maint Tech - Mechan
58,18-Jan-01,Administrative Assistant,42836,Friday Institute,Administrative Support Associa
65,3-Jan-22,Skilled Craft / Trades Foreman / Lead,59551,U&E-Central Utility Plant - Zo,Utilities Plant Ops Supr-Shift
52,30-Apr-20,"Physician AD, Staff Physician",181293,Campus Health,Staff Physician
52,9-Oct-12,Physical Therapist,62367,Campus Health,Physical Therapist
30,19-Jun-23,Department Assistant,62400,MBA Program-Poole COM,University Program Specialist
46,19-Jul-21,Custodian / Housekeeper,33584,Housekeeping Services-Reg1,Building Enviro Tech'n - Shift
63,28-Sep-06,"Sponsored Contracts / Grants Administration Professional, Restricted Funds Accountant",65123,College of Sciences Research,Accountant
61,1-Jan-84,"Sponsored Contracts / Grants Administration Professional, Restricted Funds Accountant",71477,College of Sciences Research,Accountant
27,2-Sep-19,Extension / Engagement / Public Service Professional,47640,Southeast District - Greene,Asst Extension Agent [09]
30,16-May-18,Extension / Engagement / Public Service Professional,49920,West District - Transylvania,Asst Extension Agent [04]
47,25-Jun-18,Medical Technical/Paraprofessional,77231,CVM Teaching Hospital,Medical Diagnostic Technician
42,1-Mar-22,Administrative Assistant,39827,Southeast District - Pender,COSS Administrative Assistant
37,14-Jun-21,Research / Sponsored Projects Development Professional,75026,Ofc of Research & Innovation,Contract Negotiator
48,9-Apr-21,IT Technical Support/Paraprofessional,46800,Friday Institute,Technology Support Technician
37,8-Dec-08,"IT Applications Professional, Programmer Analyst Sr.",114904,Enterprise Application Svcs,IT Analyst/Programmer III
38,15-Jul-13,Assistant Professor,130190,Dept of Clinical Sciences,Clinical Asst Professor
57,6-Jul-99,Grounds / Landscape Worker,39234,G&BS-Grounds,Horticultural Specialist
28,12-Jul-21,Student Housing Professional,49945,Residence Life,Coordinator
36,1-Jul-23,Assistant Professor,100000,Mathematics,Asst Professor
24,16-Aug-21,"IT Applications Professional, Programmer Analyst",78000,Crop & Soil Sciences,IT Analyst/Programmer I
64,1-Aug-97,Professor,178767,Dept of Clinical Sciences,Professor
47,1-Dec-98,"Research Professional, Physical Sciences, Research Associate",84847,Thermal Protection & Comfort C,Research Assoc
34,1-Jul-11,Assistant Professor,73000,Biological Sciences,Asst Teaching Professor
62,9-Sep-02,Field Faculty AC,66319,South Central District - Harne,"Ext. County Director [01,13]"
36,1-May-06,Student Affairs / Student Services Professional,77609,Student Leadership & Engagemt,Assoc Director
33,25-Oct-12,Research Asst/Technician/Technologist,54475,Applied Aquatic Ecology Center,Research Specialist-Nonexempt
37,22-Aug-09,Academic Services Professional,90480,TRIO Programs,Senior Director
27,26-Jul-21,"Academic Services Professional, Study Abroad Advisor",55120,Study Abroad,Program Coordinator
46,16-Aug-03,Associate Professor,104814,"Textile & Apparel, Technology",Assoc Professor
48,2-May-11,Communications / Marketing Professional,109579,UHR-Marketing Comm & Tech Sup,IT Manager I
27,7-Aug-19,"Business Operations Professional, Dept Business Mgr",74070,Dining and Catering Operations,Business Officer
61,22-May-18,Associate Professor,149140,Computer Science-engr,Assoc Professor
25,23-Jan-20,Extension / Engagement / Public Service Professional,47610,Southeast District - Wilson,Asst Extension Agent [03]
76,16-Aug-98,Assistant Professor,70716,"Sci, Tech, Engr & Math (STEM)",Teaching Asst Professor
60,1-Apr-16,Facilities Design / Construction Professional,78000,BM&O-Central Shops,Engr'g/Architectural Spvsr
45,1-Jul-15,Associate Professor,99591,"Textile & Apparel, Technology",Assoc Professor
34,5-Jan-22,Food Prep Worker,37659,Dining and Catering Operations,Food Service Technician-Shift
49,25-Apr-11,"Laboratory Professional, Physical Sciences, Research Operations",81645,Materials Science &Engineering,Research Operation Manager-Exe
37,4-Nov-19,IT Systems Support Professional,86112,Acad Stu Aff-Tech Services,Service Desk Manager
59,17-Sep-01,"Business Operations Professional, Dept Business Mgr",57664,Psychology,Business Services Coordinator
39,15-Jun-21,Assistant/Associate Coach-Swimming/Diving,66199,Swimming - Men & Women,Coach
54,7-Oct-11,Professor,252866,Biological Sciences,"Head, Univ. Fac. Scholar"
53,24-Feb-11,Professor,184253,Nuclear Engineering,"Professor, Univ Fac Scholar"
22,15-Sep-23,Secretary,35000,Southeast District - Onslow,COSS Support Specialist
59,22-Apr-02,Administrative Assistant,41281,CVM Teaching Hospital,Administrative Support Special
39,27-May-16,Associate Professor,91494,Mathematics,Assoc Teaching Professor
58,4-Jun-01,Facilities Design / Construction Professional,119868,Capital Project Management,Engineering/Architectual Super
30,8-Aug-22,Extension / Engagement / Public Service Professional,55215,North Central District - Durha,Asst Extension Agent [03]
68,8-Sep-08,Field Faculty AC,74407,West District - County Operati,"Asst Area Spec Agent [11,12]"
38,15-Sep-14,Administrative Specialist / Coordinator,64569,Libraries,University Program Specialist
48,8-Aug-22,"IT Client Support Professional, Specialist",54080,Technology Support Services,Technology Support Analyst
58,26-Jul-21,Institutional Affairs Paraprofessional,56680,Acad Stu Aff-Business Adm,Human Resources Specialist
61,17-Dec-12,Communications Specialist,50835,Urban Affairs & Community Serv,Public Comm Specalist
27,11-Oct-21,Animal Care Technician,49514,CVM Teaching Hospital,Medical Support Tech - Shift
41,3-Jul-17,Administrative Assistant,45478,CVM Teaching Hospital,Administrative Support Spec
32,2-Jan-19,IT Technical Support/Paraprofessional,54080,Urban Affairs & Community Serv,Bus & Tech App Technician
56,29-Oct-07,General Maintenance Lead/Supervisor,64584,Housing Facilities Admin,Facilities Maint Supervisor
54,10-Jul-23,"Engineer, Facilities Construction",87000,Capital Project Management,Engineer
31,15-Nov-21,"Research Professional, Life Sciences, Research Associate",53820,Integrated Pest Mgmt-Research,Research Assoc
29,7-Aug-23,Student Affairs / Student Services Professional,65111,Student Leadership & Engagemt,Asst Director
30,28-Nov-22,Administrative Assistant,43160,CVM Teaching Hospital,Administrative Support Spec
33,31-Aug-15,Extension / Engagement / Public Service Professional,77719,Ctr for Human Health & the Env,Director
44,1-Aug-02,"Research Professional, Life Sciences, Research Assistant",59823,"Dept-Population,Health,Pathobi",Research Asst
67,1-Sep-15,Department Assistant,49920,Engineering Foundation,University Program Associate
